microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	adapter	type_binomial	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	sgm_microbial_fraction	sgm_average_bacterial_archaeal_genome_size	np_Redundancy	np_Coverage	np_Diversity	kr_Eukaryota	kr_Bacteria	kr_Archaea	kr_Viruses	kr_total	kr_Bacteria_pct	genome_count_filtering30	seq_yield	seq_yield_filtered	low_quality_pct	adapter_contamination_pct	mapping_host_pct	mapping_human_pct	mapping_pig_pct	seq_yield_bacteria	mapping_bacteria_total_pct	mapping_bacteria_filtered_pct	mapping_reference_pct	bacteria_retained_pct
M300001	0	1	0	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	18	A001a	BEST_v10	Custom_IDT8I	negative	8980418	6963336	720698	2485512	182595	146236	24450	3710	8199	1347062700	999281872	114937609	6815424	6097637	314194	65342	338251	0.47032	0.423829	0.436531	6963336	706986	703888	6183801	2901	222	779535	704085	703666	703530	253363	450167	253363	0	0.0481	2492655	0.9031	0.9111	15.4798	2853693	121965	450	5847	2981955	0.040901019633093054	excluded	8980418	6963336	0.22460892132192511	0.08532461703527237	0.6885872127555756	3.230361882932398e-4	2.4720452878696737e-5	703530	0.028212829291465052	0.036385290039142155	0.36013105340212925	0
M300002	0	1	0	Caecum	Positive	MSEB0001	A001aI120A	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	18	A001a	BEST_v10	Custom_IDT8I	positive	14558836	12373596	655122	3488038	208368	155787	42201	3300	7080	2183825400	1789291038	149596698	6862508	5993318	532175	54678	282337	0.448213	0.412492	0.555286	12373596	1883552	1882586	10360194	748	288	2013402	1882804	1882298	1882086	673345	1208741	673345	0	0.08710000000000001	2522825	0.9732	0.9754999999999999	15.7674	4861685	319926	1015	16468	5199094	0.06153495205126124	excluded	14558836	12373596	0.15009716436121678	0.06850213300019314	0.7116086753089327	5.137773376937552e-5	1.978180123740662e-5	1882086	0.04624991997986652	0.054417891128819784	0.3577652668369033	0
M300003	0	1	0	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	19	A001a	BEST_v10	Custom_IDT8I	negative	12901846	11998988	382512	2691576	146788	106553	33682	2721	3832	1935276900	1736382137	90067001	4508541	3930363	411064	41321	125793	0.434136	0.420169	0.580771	11998988	3766626	3765598	8157649	826	257	3841339	3765800	3765341	3765186	1404723	2360463	1404723	0	0.19010000000000002	2391505	0.9914000000000001	0.9921	16.0902	4015094	686772	1717	30971	4734554	0.14505526814141312	excluded	12901846	11998988	0.06997897820203404	0.046539593894806476	0.6322854109404189	6.402184617612085e-5	1.9919630105645348e-5	3765186	0.10887767533421186	0.11707012291369906	0.3730819672653622	0
M300004	23	19.134784734772534	4.383796501982226	Caecum	Positive	MSEB0001	A001aI120A	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	A001a	BEST_v10	Custom_IDT8I	positive	9480700	8562482	500656	2441994	111374	82659	18015	4866	5834	1422105000	1216386868	90096435	3598054	3097612	214018	89629	196795	0.464202	0.452458	0.167839	8562482	5775856	5775454	2598873	262	289	5963609	5775594	5775165	5774902	1865589	3909313	1865589	1095516	0.3985	2441943	0.6656	0.6893	18.7686	1734035	1112326	2581	59891	2908833	0.3823959642922093	retained	9480700	8562482	0.09685128735219974	0.06335427763772718	0.2741224804075648	2.763509023595304e-5	3.0482981214467286e-5	5774902	0.1967775586190893	0.21787946532325558	0.32305119636662233	0.5872225876117408
M300005	6	5.843094838319856	2.4845215344649523	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	19	A001a	BEST_v10	Custom_IDT8I	negative	16030760	15518886	220588	3814247	86508	52596	27184	3507	3221	2404614000	2222953349	121701267	1842386	1418052	305218	48567	70549	0.460772	0.455389	0.590718	15518886	10601416	10600716	4873759	586	161	10645127	10600830	10600555	10600436	4365413	6235023	4365413	1191789	0.4551	2540639	0.9922	0.9929000000000001	16.9683	2999399	1991372	4996	90720	5086487	0.39150242593758716	retained	16030760	15518886	0.03193073815589529	0.050611560524890895	0.3040254485751143	3.6554723543986684e-5	1.0043191963450266e-5	10600436	0.27231478732137465	0.28129680184518396	0.41181447631021967	0.2730071587728355
M300006	27	19.773411014232895	4.058600191110315	Caecum	Positive	MSEB0001	A001aI120A	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	A001a	BEST_v10	Custom_IDT8I	positive	9540676	9176244	103098	3002677	40109	22150	12694	2927	2338	1431101400	1289412583	105887732	790070	569444	145594	38595	36437	0.498022	0.49374	0.105934	9176244	5270834	5270380	3865394	345	130	5310850	5270489	5270250	5270202	2386518	2883684	2386518	1565302	0.38689999999999997	2616422	0.6093	0.6358	18.8496	1999512	1011428	2844	43454	3057238	0.3308306386352649	retained	9540676	9176244	0.03819771261491324	0.07399037692227818	0.4051488594728508	3.6160959663654864e-5	1.3625868858768497e-5	5270202	0.25014139459300366	0.26007569109975714	0.4528323582283943	0.6558936492412796
M300007	18	13.18322344378992	3.4351622516145626	Caecum	Positive	MSEB0001	A001aI120A	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	10	A001a	BEST_v10	Custom_IDT8I	positive	6160042	5027742	76398	5603475	16067	9118	3456	1476	2017	924006300	564751746	267965627	314379	233017	35902	17449	28011	0.550175	0.544956	0.104046	5027742	4647000	4646910	379501	81	70	4648241	4646919	4646840	4646830	2133402	2513428	2133402	1165761	0.46990000000000004	2652289	0.5668	0.5951	18.7486	785028	350980	2628	34721	1173357	0.2991246483380591	retained	6160042	5027742	0.18381368178983196	0.2900041125260726	0.06160688514786101	1.314926099529841e-5	1.1363558884825785e-5	4646830	0.3463291321715014	0.424326069237443	0.459109113094303	0.5464328804416608
M300008	17	11.21523023690866	3.63035352919189	Caecum	Positive	MSEB0001	A001aI121B	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	8	A001a	BEST_v10	Custom_IDT8I	positive	16264504	15391722	127396	5340839	79443	38644	31270	4814	4715	2439675600	2163889654	197612794	1182174	694967	366668	59348	61191	0.468792	0.457018	0.117516	15391722	3691090	3689256	11645588	1453	486	3746134	3689637	3688770	3688616	1533247	2155369	1533247	933856	0.16879999999999998	2482455	0.6114	0.6378	18.4632	5481820	691842	2085	44264	6220011	0.11122842065713388	retained	16264504	15391722	0.05366176552325235	0.08099961896573463	0.7160124895293456	8.933564773939618e-5	2.9881021886680345e-5	3688616	0.09426952091499378	0.09961503982465379	0.4156699965515521	0.6090708150741531
M300009	14	12.989829741704991	3.3069612462249722	Caecum	Positive	MSEB0001	A001aI121B	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	A001a	BEST_v10	Custom_IDT8I	positive	11621060	10131610	964112	2289652	218810	168499	33981	5108	11222	1743159000	1459549931	79359482	7498904	6531673	443713	86464	437054	0.439858	0.424243	0.127637	10131610	2317068	2315926	7574833	849	391	2556777	2316219	2315535	2315224	819519	1495705	819519	391265	0.1158	2476285	0.5167	0.5469	18.5563	3710592	435082	1122	19109	4165905	0.10443877140741327	retained	11621060	10131610	0.12816817054554402	0.04552624402019552	0.6518194553680989	7.305701889500614e-5	3.3645811999938046e-5	2315224	0.07052015909047883	0.08088734169593974	0.3539696374951193	0.4774324939385176
M300010	0	1	0	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	22	A001a	BEST_v10	Custom_IDT8I	negative	20527732	9854254	526346	10134737	191211	141742	39336	1686	8447	3079159800	1435741132	653211925	4465655	3748905	455678	23451	237621	0.575427	0.408382	0.7788	9854254	577164	576004	9210458	905	153	643796	576259	575851	575784	184919	390865	184919	0	NA	NA	0.9954000000000001	0.9958	11.9762	4163010	104215	549	4627	4272401	0.02439260734186702	excluded	20527732	9854254	0.519954079681087	0.21213966387843852	0.4486836636409712	4.408670183340273e-5	7.453331912166429e-6	575784	0.009008252835724862	0.018765398172200555	0.3211603656926903	0
