ID	sample
1	M300800
2	M300801
3	M300803
4	M300804
5	M300806
6	M300807
7	M300808
8	M300809
9	M300810
10	M300811
11	M300814
12	M300815
13	M300816
14	M300818
15	M300819
16	M300820
17	M300821
18	M300822
19	M300824
20	M300825
21	M300827
22	M300828
23	M300829
24	M300831
25	M300833
26	M300834
27	M300835
28	M300836
29	M300837
30	M300839
31	M300840
32	M300886
33	M301037
34	M301038
35	M301039
36	M301041
37	M301042
38	M301044
39	M301045
40	M301046
41	M301048
42	M301049
43	M301050
44	M301051
45	M301052
46	M301054
47	M301055
48	M301057
49	M301058
50	M301059
51	M301060
52	M301063
53	M301064
54	M301065
55	M301066
56	M301068
57	M301069
58	M301070
59	M301072
60	M301073
61	M301075
62	M301076
63	M301077
64	M301079
65	M301080
66	M301081
67	M301082
68	M301084
69	M301085
70	M301086
71	M301087
72	M301089
73	M301090
74	M301092
75	M301093
76	M301094
77	M301095
78	M301097
79	M301098
80	M301099
81	M301101
82	M301102
83	M301103
84	M301104
85	M301107
86	M301109
87	M301110
88	M301111
89	M301112
90	M301113
91	M301114
92	M301115
93	M301116
94	M301118
95	M301119
96	M301121
97	M301122
98	M301124
99	M301125
100	M301126
101	M301128
102	M301129
103	M301130
104	M301131
105	M301133
106	M301134
107	M301136
108	M301137
109	M301139
110	M301140
111	M301141
112	M301142
113	M301143
114	M301144
115	M301146
116	M301148
117	M301149
118	M301151
119	M301152
120	M301153
121	M301154
122	M301155
123	M301157
124	M301158
125	M301159
126	M301161
127	M301162
128	M301163
129	M301164
130	M301166
131	M301168
132	M301169
133	M301170
134	M301171
135	M301172
136	M301173
137	M301175
138	M301177
139	M301178
140	M301179
141	M301181
142	M301182
143	M301184
144	M301185
145	M301570
146	M301571
147	M301572
148	M301573
149	M301576
150	M301577
151	M301578
152	M301579
153	M301580
154	M301582
155	M301583
156	M301584
157	M301587
158	M301588
159	M301589
160	M301591
161	M301592
162	M301593
163	M301594
164	M301595
165	M301597
166	M301598
167	M301599
168	M301601
169	M301602
170	M301603
171	M301604
172	M301606
173	M301608
174	M301609
175	M301618
176	M301620
177	M301621
178	M301622
179	M301624
180	M301625
181	M301626
182	M301627
183	M301629
184	M301631
185	M301632
186	M301633
187	M301634
188	M301636
189	M301638
190	M301639
191	M301640
192	M301641
193	M301642
194	M301643
195	M301645
196	M301646
197	M301647
198	M301648
