SampleID  	1       	2       	3       	4       	5       	6       	7       	8       	9       	10      	11      	12      	13      	14      	15      	16      	17      	18      	19      	20      	21      	22      	23      	24      	25      	26      	27      	28      	29      	30      	31      	32      	33      	34      	35      	36      	37      	38      	39      	40      	41      	42      	43      	44      	45      	46      	47      	48      	49      	50      	51      	52      	53      	54      	55      	56      	57      	58      	59      	60      	61      	62      	63      	64      	65      	66      	67      	68      	69      	70      	71      	72      	73      	74      	75      	76      	77      	78      	79      	80      	81      	82      	83      	84      	85      	86      	87      	88      	89      	90      	91      	92      	93      	94      	95      	96      	97      	98      	99      	100     	101     	102     	103     	104     	105     	106     	107     	108     	109     	110     	111     	112     	113     	114     	115     	116     	117     	118     	119     	120     	121     	122     	123     	124     	125     	126     	127     	128     	129     	130     	131     	132     	133     	134     	135     	136     	137     	138     	139     	140     	141     	142     	143     	144     	145     	146     	147     	148     	149     	150     	151     	152     	153     	154     	155     	156     	157     	158     	159     	160     	161     	162     	163     	164     	165     	166     	167     	168     	169     	170     	171     	172     	173     	174     	175     	176     	177     	178     	179     	180     	181     	182     	183     	184     	185     	186     	187     	188     	189     	190     	191     	192     	193     	194     	195     	196     	197     	198     
1	0.99150139	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99181288	1.00000000	0.99389178	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99009901	0.99158877	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99769408	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	NaN	0.99365580	1.00000000	1.00000000	1.00000000	1.00000000	0.99420530	0.99629080	0.99093264	0.99130434	1.00000000	NaN	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	0.99442726	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99969298	1.00000000	1.00000000	1.00000000	1.00000000	0.99787235	0.99771613	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99933553	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99969447	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000
2	1.00000000	0.99059635	0.99984145	1.00000000	0.99974352	0.99951404	0.99981189	0.99977052	0.99967581	0.99984586	0.99983811	0.99990571	0.99970871	0.99938858	0.99981976	0.99963731	0.99903554	0.99984163	0.99988163	0.99990737	0.99981779	0.99992043	0.99959427	0.99968922	1.00000000	0.99986029	0.99985904	0.99968469	0.99984509	0.99917036	0.99967468	0.99975681	0.99971163	0.99968177	0.99958521	0.99974012	0.99761432	0.99740064	0.99805474	0.99826920	0.99825132	0.99831134	0.99785089	0.99833441	0.99790472	0.99836349	1.00000000	0.99813843	0.99776226	0.99821663	0.99742174	0.99810922	0.99827105	0.99812526	0.99911475	0.99830449	0.99877793	0.99837440	0.99924642	0.99728823	0.99850029	0.99878925	0.99849486	0.99901819	0.99849880	0.99840224	0.99769127	0.99739987	0.99796671	0.99692309	0.99777603	0.99760270	1.00000000	0.99966651	0.99968886	0.99931604	0.99953717	0.99978620	0.99989021	0.99952286	0.99969864	0.99960697	0.99980545	0.99958533	0.99962884	0.99977684	0.99957883	0.99983257	0.99976271	0.99971533	0.99976307	0.99972552	0.99977612	0.99979389	0.99978477	0.99956685	0.99969709	0.99987954	0.99942386	0.99970692	0.99974167	1.00000000	0.99976611	NaN	0.99982893	0.99977183	0.99962670	0.99979985	0.99743909	0.99841505	0.99689490	0.99808097	0.99765688	0.99779755	0.99765134	0.99849457	0.99863553	0.99715155	0.99753892	0.99773318	0.99754143	0.99637806	0.99829334	0.99748689	0.99827534	0.99780649	0.99680537	0.99800658	0.99718159	0.99871057	0.99733460	0.99857259	1.00000000	0.99696469	0.99821848	0.99791890	0.99816263	0.99751234	0.99734545	0.99796504	0.99772274	0.99760479	0.99733061	0.99722445	0.99978280	0.99970639	0.99965340	0.99978256	0.99973458	0.99982077	0.99971092	0.99959451	0.99956083	0.99943185	0.99956071	0.99970394	0.99960387	0.99976069	0.99967253	0.99966311	0.99224806	0.99963820	0.99970663	0.99953085	0.99953610	0.99960315	0.99957299	NaN	0.99966502	0.99974692	0.99978000	0.99971068	0.99952298	0.99966913	0.99966323	0.99960226	0.99979687	0.99964422	0.99953926	0.99972004	0.99978065	0.99947315	0.99976772	0.99984688	0.99966490	0.99843109	0.99953961	0.99958891	0.99979943	0.99970341	0.99954915	0.99973106	0.99954921	0.99983305	0.99954015	0.99953145	0.99980438	0.99984145
3	1.00000000	0.99984145	0.99128485	1.00000000	0.99963677	0.99949783	0.99979448	0.99977827	0.99978280	0.99975449	0.99983388	0.99977469	0.99978334	0.99937779	0.99995673	0.99958998	0.99915648	0.99972969	0.99985236	0.99991405	0.99970776	0.99985528	0.99964565	0.99967563	0.99990851	0.99969244	0.99983501	0.99971968	0.99974316	0.99922007	0.99957019	0.99986178	0.99982285	0.99963605	0.99974287	0.99968922	0.99746901	0.99744475	0.99796426	0.99839461	0.99838519	0.99806595	0.99795812	0.99867898	0.99775720	0.99808538	NaN	0.99831009	0.99810839	0.99815375	0.99693972	0.99781877	0.99824744	0.99781340	0.99917746	0.99762255	0.99850506	0.99832064	0.99931395	0.99701279	0.99898726	0.99832505	0.99853492	0.99912518	0.99834716	0.99775118	0.99763638	0.99700278	0.99822694	0.99633920	0.99845928	0.99754864	0.99955159	0.99963754	0.99973595	0.99940562	0.99937594	0.99972266	1.00000000	0.99941480	0.99969321	0.99948072	0.99975306	0.99963772	0.99972242	0.99977994	0.99960178	0.99969602	0.99972510	0.99952447	0.99973923	0.99962276	0.99969447	0.99978000	0.99971080	0.99943340	0.99978858	0.99979424	0.99941230	0.99968976	0.99975175	1.00000000	0.99975002	NaN	0.99970877	0.99933779	0.99946696	0.99961376	0.99735838	0.99804562	0.99746674	0.99809825	0.99778587	0.99804294	0.99751168	0.99820417	0.99798012	0.99590749	0.99745268	0.99799663	0.99768412	0.99759394	0.99870855	0.99792159	0.99807698	0.99791837	0.99696106	0.99807715	0.99731815	0.99845254	0.99780577	0.99904859	0.99758452	0.99819291	0.99788058	0.99761766	0.99838102	0.99822795	0.99739730	0.99799651	0.99784195	0.99758607	0.99722242	0.99761689	0.99969548	0.99961841	0.99956715	0.99965852	0.99968809	0.99970895	0.99963111	0.99925458	0.99943250	0.99937391	0.99932718	0.99966317	0.99956852	0.99949372	0.99947155	0.99956197	1.00000000	0.99960816	0.99970829	0.99952787	0.99947095	0.99960101	0.99952370	NaN	0.99958879	0.99961406	0.99960786	0.99960619	0.99957711	0.99973661	0.99955863	0.99959004	0.99959856	0.99963659	0.99928147	0.99969018	0.99986130	0.99967182	0.99960613	0.99957836	0.99972415	0.99837220	0.99950993	0.99927521	0.99959332	0.99958450	0.99963653	0.99966198	0.99946290	0.99973959	0.99967879	0.99914747	0.99964535	0.99965787
4	1.00000000	1.00000000	1.00000000	0.99520510	1.00000000	0.99975824	1.00000000	1.00000000	1.00000000	0.99981427	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99987715	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99995130	0.99995172	1.00000000	0.99995041	1.00000000	0.99981427	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99980551	0.99976605	0.99958283	0.99847561	0.99864560	0.99952930	0.99972588	0.99866986	0.99951053	0.99977434	0.99915612	0.99929261	NaN	0.99949056	0.99936974	0.99950945	0.99915493	0.99928761	0.99939156	0.99932021	0.99973077	0.99975944	0.99972636	0.99972230	0.99946594	0.99971104	0.99871629	0.99946821	0.99974364	0.99973077	0.99975961	0.99977273	0.99943757	0.99970651	0.99867141	1.00000000	0.99923807	0.99955088	1.00000000	1.00000000	1.00000000	0.99995166	1.00000000	0.99980462	1.00000000	0.99981606	1.00000000	1.00000000	0.99982053	1.00000000	0.99986243	1.00000000	1.00000000	1.00000000	0.99981648	1.00000000	1.00000000	0.99991000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.99990982	1.00000000	0.99981797	1.00000000	1.00000000	NaN	1.00000000	1.00000000	1.00000000	1.00000000	0.99959618	1.00000000	0.99862099	0.99694562	0.99941140	0.99938649	1.00000000	0.99948955	1.00000000	0.99874371	0.99956244	0.99948943	0.99948424	1.00000000	0.99955505	0.99970049	0.99780542	0.99974078	0.99837595	0.99978101	0.99976861	0.99899524	0.99883384	0.99972737	NaN	1.00000000	0.99973065	0.99885821	1.00000000	0.99931347	0.99866557	0.99976480	0.99878913	0.99976414	0.99871325	0.99972034	1.00000000	1.00000000	1.00000000	0.99977314	0.99981958	0.99986541	1.00000000	1.00000000	1.00000000	0.99990940	0.99972862	0.99981964	1.00000000	1.00000000	0.99995500	0.99981600	1.00000000	1.00000000	0.99991077	0.99995476	1.00000000	0.99982053	0.99990857	NaN	0.99981791	0.99995506	1.00000000	0.99982303	0.99982095	1.00000000	1.00000000	0.99977505	1.00000000	1.00000000	0.99993801	0.99973148	1.00000000	1.00000000	0.99986714	1.00000000	0.99986529	1.00000000	1.00000000	0.99964249	0.99981928	1.00000000	0.99981850	0.99981880	0.99986494	0.99968469	0.99982041	1.00000000	0.99982113	1.00000000
5	1.00000000	0.99974352	0.99963677	1.00000000	0.99086070	0.99934912	0.99992275	0.99964201	0.99981451	0.99976522	0.99986249	0.99963719	0.99984682	0.99939352	0.99970597	0.99958545	0.99923289	0.99970680	0.99964112	0.99989033	0.99976790	0.99978215	0.99965793	0.99962497	0.99997342	0.99979270	0.99972063	0.99956995	0.99978632	0.99862868	0.99957466	0.99962282	0.99970454	0.99947822	0.99955368	0.99962747	0.99708545	0.99672294	0.99782526	0.99811119	0.99788660	0.99750221	0.99737692	0.99827492	0.99736845	0.99852467	NaN	0.99772197	0.99725050	0.99741304	0.99689537	0.99749911	0.99699742	0.99780929	0.99844915	0.99719036	0.99793547	0.99809283	0.99917465	0.99724287	0.99844897	0.99878168	0.99845815	0.99872857	0.99828768	0.99766499	0.99697810	0.99778169	0.99769551	0.99602544	0.99782485	0.99750787	1.00000000	0.99958068	0.99965489	0.99913144	0.99930644	0.99942559	1.00000000	0.99958587	0.99956930	0.99964368	0.99958813	0.99948347	0.99956334	0.99984032	0.99959475	0.99972355	0.99962252	0.99961162	1.00000000	0.99948066	0.99965060	0.99977821	0.99952275	0.99921989	0.99944830	0.99948359	0.99923807	0.99964613	0.99964499	0.99946862	0.99969476	NaN	0.99961680	0.99976760	0.99969256	0.99969143	0.99688113	0.99770695	0.99699992	0.99732023	0.99696815	0.99713773	0.99720001	0.99883157	0.99943280	0.99740303	0.99709386	0.99749988	0.99751067	0.99907643	0.99843311	0.99745929	0.99780375	0.99738079	0.99656624	0.99777025	0.99689806	0.99835747	0.99825037	0.99839091	1.00000000	0.99751616	0.99736661	0.99718082	0.99837047	0.99792045	0.99686146	0.99810898	0.99727052	0.99694771	0.99684763	0.99707860	0.99940765	0.99969685	0.99939519	0.99956065	0.99967855	0.99940664	0.99936914	0.99931425	0.99915653	0.99931562	0.99932426	0.99953038	0.99952358	0.99947697	0.99957150	0.99948847	0.99166667	0.99944293	0.99938965	0.99946737	0.99943262	0.99945188	0.99916738	NaN	0.99944460	0.99937111	0.99955207	0.99941438	0.99942374	0.99937403	0.99941295	0.99933171	0.99947697	0.99951774	0.99926704	0.99958849	0.99961394	0.99927688	0.99928463	0.99964023	0.99945611	0.99760127	0.99928296	0.99944204	0.99934900	0.99938720	0.99950564	0.99940205	0.99917555	0.99954689	0.99934769	0.99923211	0.99952269	0.99954498
6	1.00000000	0.99951404	0.99949783	0.99975824	0.99934912	0.99176461	0.99956113	0.99941230	0.99960661	0.99950325	0.99953759	0.99951065	0.99947613	0.99922591	0.99964023	0.99945766	0.99825615	0.99955815	0.99957329	0.99958801	0.99924260	0.99957502	0.99945247	0.99947840	0.99963868	0.99951828	0.99955541	0.99942917	0.99959892	0.99908125	0.99941617	0.99943274	0.99980748	0.99952602	0.99943453	0.99946892	0.99771917	0.99749476	0.99787426	0.99839973	0.99881649	0.99829024	0.99688798	0.99824065	0.99829423	0.99759924	NaN	0.99855012	0.99803662	0.99888629	0.99761176	0.99800146	0.99760193	0.99828643	0.99913144	0.99782610	0.99810630	0.99733520	0.99891657	0.99613941	0.99871755	0.99809396	0.99874157	0.99911302	0.99798924	0.99839729	0.99662685	0.99707580	0.99787378	0.99771518	0.99704635	0.99788630	0.99915975	0.99949086	0.99958748	0.99925131	0.99931699	0.99942315	0.99991888	0.99919915	0.99960804	0.99950582	0.99950874	0.99962175	0.99957925	0.99955434	0.99943727	0.99949163	0.99952525	0.99967432	0.99871844	0.99935144	0.99956763	0.99938381	0.99957144	0.99924195	0.99937087	0.99938363	0.99920636	0.99953187	0.99954146	0.99901509	0.99941391	NaN	0.99961877	0.99960154	0.99950767	0.99956846	0.99789774	0.99783212	0.99639708	0.99736547	0.99638593	0.99744874	0.99788648	0.99761444	0.99678248	0.99851680	0.99579275	0.99805927	0.99656105	0.99829155	0.99781561	0.99726135	0.99694276	0.99851692	0.99743998	0.99728876	0.99732661	0.99838012	0.99782473	0.99840111	1.00000000	0.99777824	0.99835658	0.99725807	1.00000000	0.99802536	0.99765414	0.99735290	0.99707323	0.99786448	0.99663472	0.99697602	0.99948978	0.99948436	0.99920321	0.99939102	0.99944812	0.99948531	0.99954373	0.99838972	0.99901694	0.99906397	0.99920225	0.99934185	0.99934661	0.99917310	0.99920291	0.99936646	0.99224806	0.99935102	0.99930382	0.99954867	0.99910903	0.99921083	0.99877769	NaN	0.99929047	0.99940252	0.99943572	0.99924141	0.99922782	0.99946988	0.99938577	0.99901736	0.99937862	0.99943346	0.99934274	0.99922860	0.99979079	0.99901634	0.99890083	0.99954104	0.99939865	0.99720526	0.99910408	0.99900585	0.99961811	0.99930555	0.99934828	0.99954313	0.99942482	0.99943924	0.99950665	0.99910420	0.99942076	0.99951333
7	1.00000000	0.99981189	0.99979448	1.00000000	0.99992275	0.99956113	0.99219835	0.99974757	0.99993163	0.99993652	0.99985802	0.99988127	0.99982458	0.99982524	0.99980748	0.99970239	0.99946856	0.99987084	0.99991530	0.99990523	0.99975592	0.99994004	0.99982041	0.99984092	0.99996877	0.99988848	0.99979705	0.99976724	0.99989974	0.99922943	0.99977672	0.99967015	0.99978697	0.99985170	0.99961060	0.99980032	0.99820811	0.99678922	0.99722183	0.99840963	0.99885255	0.99798638	0.99719781	0.99852449	0.99759656	0.99848950	NaN	0.99795520	0.99737978	0.99760646	0.99686575	0.99750018	0.99896485	0.99777442	0.99786311	0.99822348	0.99859071	0.99906582	0.99850738	0.99783719	0.99811542	0.99862909	0.99784601	0.99843276	0.99849004	0.99803478	0.99720234	0.99814445	0.99807423	0.99050969	0.99748075	0.99807990	1.00000000	0.99977350	0.99970967	0.99952942	0.99978560	0.99978560	0.99957842	0.99973404	0.99973762	0.99978971	0.99976122	0.99974614	0.99965268	0.99986875	0.99973917	0.99986935	0.99988669	0.99965084	0.99958628	0.99970263	0.99969518	0.99991369	0.99975920	0.99980092	0.99974084	0.99983335	0.99978447	0.99988818	0.99972159	1.00000000	0.99983346	NaN	0.99979722	0.99988377	0.99961078	0.99984437	0.99774152	0.99823070	0.99682933	0.99763036	0.99697036	0.99663490	0.99794739	0.99861538	0.99926883	0.99828207	0.99710381	0.99799347	0.99753398	0.99857038	0.99822414	0.99763000	0.99726623	0.99737126	0.99672347	0.99759901	0.99792099	0.99812883	0.99791509	0.99842280	1.00000000	0.99637026	0.99743843	0.99715090	0.99925482	0.99866146	0.99649268	0.99779242	0.99745238	0.99720019	0.99654740	0.99681896	0.99984032	0.99980748	0.99974006	0.99989909	0.99983299	0.99984419	0.99984264	0.99974221	0.99956620	0.99979544	0.99969208	0.99981904	0.99980718	0.99969244	0.99975538	0.99966425	0.98333335	0.99978518	0.99982643	0.99954659	0.99961120	0.99986482	0.99980640	NaN	0.99982107	0.99970907	0.99970824	0.99969709	0.99971378	0.99985629	0.99974066	0.99978596	0.99980146	0.99976355	0.99956465	0.99986589	0.99983460	0.99967813	0.99973291	0.99983120	0.99978745	0.99804717	0.99969929	0.99974686	0.99987370	0.99978721	0.99971920	0.99974459	0.99973929	0.99964964	0.99975592	0.99973732	0.99970609	0.99979126
8	1.00000000	0.99977052	0.99977827	1.00000000	0.99964201	0.99941230	0.99974757	0.99055272	0.99986494	0.99977022	0.99980319	0.99979287	0.99948317	0.99910873	0.99967581	0.99950194	0.99953860	0.99965817	0.99963331	0.99983370	0.99944592	0.99981731	0.99964011	0.99952364	0.99992907	0.99975049	0.99966305	0.99953061	0.99970120	0.99907780	0.99971116	0.99961996	0.99966598	0.99961084	0.99967796	0.99961138	0.99738276	0.99700093	0.99821413	0.99788189	0.99873352	0.99811918	0.99790120	0.99853021	0.99768013	0.99830329	1.00000000	0.99784088	0.99782628	0.99785572	0.99719477	0.99796730	0.99761099	0.99750578	0.99882871	0.99788713	0.99890327	0.99793458	0.99885744	0.99664986	0.99848896	0.99876535	0.99839699	0.99890763	0.99838066	0.99780238	0.99763882	0.99730122	0.99763542	0.99514496	0.99787325	0.99751657	0.99987406	0.99977756	0.99966395	0.99936050	0.99946582	0.99963081	1.00000000	0.99947613	0.99955356	0.99946517	0.99966311	0.99963337	0.99966317	0.99973667	0.99959517	0.99961573	0.99966943	0.99974900	0.99918824	0.99963206	0.99955368	0.99990648	0.99975741	0.99948472	0.99962384	0.99968356	0.99927431	0.99962980	0.99960989	0.99978215	0.99970931	NaN	0.99973565	0.99961066	0.99953586	0.99964201	0.99743861	0.99756414	0.99702847	0.99797738	0.99715412	0.99787354	0.99717122	0.99844813	0.99778086	0.99686444	0.99743479	0.99793226	0.99800575	0.99703747	0.99807298	0.99742800	0.99825919	0.99717164	0.99680537	0.99802679	0.99766791	0.99856240	0.99807459	0.99893343	1.00000000	0.99666190	0.99780428	0.99697763	0.99825025	0.99766445	0.99765706	0.99817896	0.99755192	0.99699271	0.99690312	0.99717909	0.99966937	0.99948096	0.99954140	0.99953067	0.99963164	0.99964303	0.99962270	0.99920177	0.99942642	0.99951726	0.99939483	0.99940658	0.99969751	0.99949712	0.99974155	0.99939841	0.99224806	0.99967587	0.99961174	0.99944115	0.99962234	0.99946117	0.99950653	NaN	0.99949712	0.99973953	0.99955130	0.99972737	0.99979752	0.99960756	0.99951959	0.99961627	0.99942875	0.99958593	0.99945462	0.99972588	0.99956214	0.99935776	0.99952698	0.99964052	0.99956042	0.99851274	0.99950427	0.99949718	0.99961805	0.99944174	0.99958551	0.99948853	0.99941748	0.99968988	0.99958569	0.99952817	0.99959177	0.99974096
9	1.00000000	0.99967581	0.99978280	1.00000000	0.99981451	0.99960661	0.99993163	0.99986494	0.99221897	0.99991477	0.99979246	0.99982250	0.99964780	0.99972886	0.99974424	0.99965650	0.99959177	0.99972934	0.99980551	0.99996471	0.99981904	0.99992371	0.99973893	0.99984914	0.99997216	0.99990481	0.99976861	0.99978364	0.99987245	0.99924421	0.99974209	0.99954939	0.99986637	0.99979770	0.99965358	0.99961424	0.99844658	0.99715757	0.99855280	0.99905127	0.99923432	0.99892175	0.99826479	0.99896139	0.99853164	0.99894053	NaN	0.99840873	0.99869382	0.99854136	0.99774873	0.99908400	0.99910611	0.99839526	0.99905211	0.99882799	0.99862289	0.99809945	0.99937904	0.99828273	0.99918538	0.99924427	0.99906623	0.99928612	0.99887782	0.99897724	0.99812329	0.99781126	0.99821943	0.99675745	0.99840510	0.99903387	0.99939662	0.99982888	0.99971539	0.99932033	0.99965900	0.99980980	0.99994010	0.99955690	0.99982524	0.99973112	0.99965233	0.99980891	0.99977237	0.99991453	0.99968404	0.99972814	0.99968308	0.99972284	1.00000000	0.99960011	0.99956697	0.99981976	0.99962205	0.99960184	0.99952334	0.99989486	0.99947590	0.99973190	0.99969625	0.99959981	0.99967533	NaN	0.99980611	0.99968958	0.99965763	0.99944913	0.99830574	0.99857348	0.99771708	0.99835861	0.99811423	0.99836081	0.99862564	0.99900377	0.99966753	0.99892879	0.99822426	0.99846441	0.99872363	0.99938625	0.99904346	0.99839419	0.99849367	0.99862438	0.99787134	0.99860722	0.99845320	0.99888319	0.99861407	0.99914074	0.99844718	0.99838006	0.99871409	0.99805474	0.99769717	0.99852240	0.99816668	0.99884343	0.99828136	0.99790013	0.99790281	0.99798697	0.99972683	0.99984050	0.99969828	0.99985969	0.99985200	0.99954414	0.99978662	0.99961370	0.99957639	0.99947780	0.99949777	0.99972904	0.99989319	0.99978119	0.99971950	0.99956167	0.98823529	0.99968135	0.99972552	0.99945569	0.99957752	0.99964631	0.99962705	NaN	0.99973845	0.99975735	0.99967247	0.99968386	0.99975014	0.99973863	0.99961770	0.99960619	0.99961066	0.99962777	0.99953258	0.99971503	0.99989903	0.99974507	0.99973714	0.99970752	0.99966514	0.99814326	0.99969304	0.99962431	0.99951172	0.99965054	0.99966866	0.99971771	0.99961346	0.99981970	0.99965000	0.99970967	0.99958253	0.99970335
10	1.00000000	0.99984586	0.99975449	0.99981427	0.99976522	0.99950325	0.99993652	0.99977022	0.99991477	0.99016488	0.99983990	0.99990302	0.99966437	0.99962956	0.99973685	0.99967808	0.99909729	0.99978787	0.99967647	0.99988437	0.99939150	0.99988335	0.99957210	0.99961495	0.99991101	0.99974471	0.99990666	0.99977815	0.99985069	0.99870992	0.99969232	0.99966973	0.99980366	0.99971348	0.99978793	0.99965745	0.99726552	0.99688578	0.99803513	0.99858648	0.99875027	0.99788374	0.99789536	0.99844688	0.99736774	0.99842399	NaN	0.99794245	0.99763411	0.99808437	0.99640656	0.99810654	0.99709779	0.99760193	0.99888772	0.99730402	0.99845481	0.99792898	0.99918687	0.99738377	0.99865222	0.99839348	0.99858874	0.99888468	0.99841011	0.99781036	0.99721014	0.99794900	0.99767333	0.99596578	0.99829608	0.99779427	1.00000000	0.99972600	0.99979407	0.99939090	0.99960852	0.99963701	0.99964291	0.99967998	0.99960786	0.99958837	0.99981916	0.99980319	0.99970275	0.99981552	0.99974084	0.99977356	0.99977440	0.99968219	1.00000000	0.99969834	0.99976021	0.99993068	0.99966824	0.99941081	0.99966049	0.99980754	0.99955058	0.99979317	0.99980986	0.99966943	0.99982637	NaN	0.99979758	0.99951690	0.99953425	0.99980372	0.99731934	0.99849617	0.99676943	0.99801010	0.99737251	0.99762905	0.99786747	0.99832302	0.99981564	0.99762100	0.99705333	0.99757725	0.99783516	0.99818587	0.99821562	0.99792773	0.99808317	0.99790102	0.99656993	0.99816936	0.99774909	0.99859500	0.99794024	0.99840999	1.00000000	0.99698585	0.99717581	0.99783427	0.99797672	0.99762803	0.99708706	0.99805075	0.99758214	0.99745280	0.99659824	0.99724281	0.99966854	0.99985826	0.99971533	0.99973696	0.99981940	0.99978673	0.99976552	0.99943954	0.99956477	0.99962336	0.99945760	0.99969667	0.99971735	0.99960887	0.99976873	0.99936777	1.00000000	0.99961048	0.99972528	0.99966037	0.99945360	0.99962866	0.99969310	NaN	0.99967813	0.99973696	0.99963623	0.99953276	0.99970216	0.99973285	0.99965966	0.99961543	0.99976027	0.99968487	0.99928468	0.99980909	0.99981916	0.99958140	0.99951690	0.99983466	0.99983573	0.99844259	0.99974555	0.99951345	0.99976635	0.99967051	0.99968553	0.99970746	0.99957860	0.99978215	0.99963939	0.99920076	0.99975318	0.99988520
